platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
103,Ackermann,Ruth,CVP,--
71,Aeschbacher,Nathalie,GLP,JA
42,Agosti,Theres,SP,JA
31,Akanji,Sarah,SP,JA
177,Albanese,Franco,SVP,--
54,Alder,Ronald,GLP,JA
126,Amrein,Hans-Peter,SVP,--
162,Balmer,Bettina,FDP,--
140,Bamert,Ueli,SVP,--
81,Barmettler,Franziska,GLP,JA
57,Bartal,Isabel,SP,JA
9,Bärtschiger,Markus,SP,JA
168,Bender,André,SVP,--
11,Berner,Melanie,AL,JA
128,Biber,Michael,FDP,--
20,Bischoff,Markus,AL,JA
22,Bloch,Beat,CSP,JA
173,Bonato,Diego,SVP,--
124,Bossert,Sandra,SVP,--
129,Bourgeois,Marc,FDP,--
17,Brandenberger,Harry,SP,JA
159,Brunner,Hans-Peter,FDP,--
34,Brunner,Robert,Grüne,JA
101,Bürgin,Yvonne,CVP,--
155,Burtscher,Rochus,SVP,--
49,Büsser,Jeanette,Grüne,JA
13,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,--
44,Columberg,Leandra,SP,JA
83,Cometta-Müller,Katrin,GLP,JA
4,Dalcher,Pierre,SVP,--
41,Daurù,Andreas,SP,JA
51,Dietschi,Urs,Grüne,JA
29,Dünki,Michèle,SP,JA
70,Dürr,Renate,Grüne,JA
134,Egli,Hans,EDU,--
181,Erni,Jonas,SP,JA
147,Etter-Gick,Carola,FDP,--
100,Farner,Martin,FDP,--
110,Fehr Düsel,Nina,SVP,--
36,Fehr,Karin,Grüne,JA
148,Fehr,Raffaela,FDP,--
62,Feldmann,Stefan,SP,JA
111,Finsler,Hans,SVP,--
150,Fischer,Benjamin,SVP,--
65,Forrer,Thomas,Grüne,JA
130,Franzen,Barbara,FDP,--
158,Frey-Eigenmann,Beatrix,FDP,--
143,Furrer,Astrid,FDP,--
67,Galeuchet,David,Grüne,JA
105,Gantner,Alex,FDP,--
26,Gehrig,Sonja,GLP,JA
160,Geistlich,Andreas,FDP,--
75,Gisler,Andrea,GLP,JA
14,Göldi,Hanspeter,SP,JA
136,Grüter,Barbara,SVP,--
93,Günthard,Barbara,EVP,--
21,Guyer,Esther,Grüne,JA
161,Habegger,Beat,FDP,--
152,Habicher,Lorenz,SVP,--
69,Hans,Urs,Grüne,JA
55,Hasler,Andreas,GLP,JA
91,Häuptli,Daniel,GLP,JA
127,Hauser,Matthias,SVP,--
35,Häusler,Edith,Grüne,JA
52,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,--
178,Hoffmann,Benedikt,SVP,--
86,Hollenstein,Claudia,GLP,JA
25,Honegger,Thomas,Grüne,JA
123,Honegger,Walter,SVP,--
89,Huber,Stefanie,GLP,JA
156,Huber,Beat,SVP,--
165,Huber,Martin,FDP,NEIN
151,Hübscher,Martin,SVP,--
78,Hugentobler,Hanspeter,EVP,--
12,Huonker,Laura,AL,JA
121,Isler,René,SVP,--
145,Jäger,Alexander,FDP,--
39,Joss,Karin,GLP,JA
46,Joss,Rosmarie,SP,JA
37,Kampus,Manuel,Grüne,JA
32,Katumba,Andrew,SP,JA
1,Kläy,Dieter,FDP,--
142,Kündig,Jörg,FDP,--
24,L'Orange Seigo,Selma,Grüne,JA
63,Lais,Ruedi,SP,JA
119,Lamprecht,Thomas,EDU,--
112,Landmann,Valentin,SVP,--
33,Langenegger,Tobias,SP,JA
180,Langhart,Konrad,SVP,--
167,Ledergerber,Domenik,SVP,--
27,Loss,Davide,SP,JA
135,Lucek,Christian,SVP,--
40,Mäder,Gabriel,GLP,JA
76,Mani,Tobias,EVP,--
183,Marthaler,Thomas,SP,JA
7,Marti,Sibylle,SP,JA
184,Marty Fässler,Carmen,SP,JA
133,Marty,Maria Rita,SVP,--
185,Matter,Sylvie,SP,JA
174,Mayer,Paul,SVP,--
132,Meier,Doris,FDP,--
59,Meier,Esther,SP,JA
66,Meier,Florian,Grüne,JA
95,Meier,Walter,EVP,--
153,Mettler,Christian,SVP,--
94,Monhart,Beat,EVP,--
163,Moser-Schäfer,Arianne,FDP,--
146,Müller,André,FDP,--
117,Müller,Christian,FDP,--
131,Müller,Fabian,FDP,--
80,Näf,Melissa,GLP,JA
53,Petri,Gabi,Grüne,JA
64,Pfalzgraf,Hannah,SP,JA
179,Pfister,Ulrich,SVP,--
169,Pflugshaupt,Elisabeth,SVP,--
96,Pinto,Jean-Philippe,CVP,--
23,Pokerschnig,Jasmine,Grüne,JA
50,Rigoni,Silvia,Grüne,JA
137,Rinderknecht,Daniela,SVP,--
172,Rogenmoser,Romaine,SVP,--
118,Romero,Angie,FDP,--
61,Röösli,Brigitte,SP,JA
116,Rueff,Sonja,FDP,--
10,Sadriu,Qëndresa,SP,JA
18,Sahli,Manuel,AL,JA
82,Sanesi-Muri,Monica,GLP,JA
79,Schaaf,Markus,EVP,--
157,Scheck,Roland,SVP,--
3,Scherrer,Benno,GLP,JA
154,Schick,Peter,SVP,--
88,Schlauri,Simon,GLP,JA
108,Schmid,Claudio,SVP,--
99,Schmid,Lorenz,CVP,--
2,Schmid,Roman,SVP,--
109,Schmid,Stefan,SVP,--
144,Schucan,Christian,FDP,--
68,Schweizer,Thomas,Grüne,JA
45,Siegrist,Nicola,SP,JA
92,Sommer,Daniel,EVP,--
47,Späth,Markus,SP,JA
48,Steiner,Kathy,Grüne,JA
28,Steiner,Rafael,SP,JA
19,Stofer,Judith,AL,JA
58,Straub,Esther,SP,JA
90,Stünzi,Christa,GLP,JA
