platz,nachname,vorname,partei,stimme
184,Agosti Monn,Theres,SP,JA
103,Albanese,Franco,CVP,--
50,Altwegg,Jürg,Grüne,JA
125,Amacker,Bruno,SVP,--
126,Amrein,Hans-Peter,SVP,NEIN
110,Arnold,Martin,SVP,NEIN
140,Bachmann,Ernst,SVP,NEIN
171,Bär,Hansruedi,SVP,NEIN
10,Barrile,Angelo,SP,JA
44,Bartal,Isabel,SP,JA
75,Bellaiche,Judith,GLP,NEIN
163,Berger,Antoine,FDP,NEIN
13,Bischoff,Markus,AL,JA
20,Bloch,Beat,CSP,JA
123,Bollinger,Erich,SVP,NEIN
111,Borer,Anita,SVP,NEIN
79,Brazerol,Rico,BDP,JA
34,Brunner,Robert,Grüne,JA
58,Büchi-Wild,Renate,SP,JA
97,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,NEIN
5,Bussmann,Barbara,SP,JA
12,Bütikofer,Kaspar,AL,JA
116,Camenisch,Linda,FDP,NEIN
180,Dalcher,Pierre,SVP,NEIN
43,Daurù,Andreas,SP,JA
35,Dietschi,Urs,Grüne,JA
99,Egli,Hans,EDU,NEIN
4,Egli,Karin,SVP,--
42,Egli,Ursina,SP,JA
71,Erdin,Andreas,GLP,NEIN
181,Erni,Jonas,SP,JA
130,Farner,Martin,FDP,NEIN
62,Feldmann,Stefan,SP,JA
81,Fenner,Bruno,BDP,JA
66,Ferro,Ornella,Grüne,--
82,Fischer,Gerhard,EVP,JA
152,Frei-Baumann,Ruth,SVP,NEIN
16,Frei,Daniel,SP,JA
178,Frei,Hans,SVP,NEIN
161,Frey,Beatrix,FDP,NEIN
147,Furrer,Astrid,FDP,NEIN
138,Fürst,Reinhard,SVP,NEIN
106,Gantner,Alex,FDP,NEIN
144,Geistlich,Andreas,FDP,NEIN
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
88,Gugger,Nik,EVP,JA
78,Gut,Astrid,BDP,JA
54,Gutknecht,René,GLP,NEIN
86,Gutmann,Eva,GLP,NEIN
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,NEIN
134,Habicher,Lorenz,SVP,NEIN
169,Haderer,Willy,SVP,NEIN
149,Haller,Margrit,SVP,NEIN
146,Hänni,Cäcilia,FDP,NEIN
48,Hans,Urs,Grüne,JA
100,Häring,Hans Peter,EDU,NEIN
25,Hasler,Andreas,GLP,NEIN
176,Haug,Hanspeter,SVP,NEIN
74,Hauri,Andreas,GLP,NEIN
127,Hauser,Matthias,SVP,NEIN
23,Häusler,Edith,Grüne,JA
51,Heierli,Daniel,Grüne,JA
151,Heusser,Hans-Heinrich,SVP,NEIN
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
175,Hofer,Jacqueline,SVP,NEIN
131,Hofmann,Olivier,FDP,NEIN
67,Homberger,Max,Grüne,JA
155,Huber,Beat,SVP,NEIN
87,Huber,Stefanie,GLP,NEIN
76,Hunger,Stefan,BDP,JA
121,Isler,René,SVP,NEIN
167,Isliker,Walter,SVP,NEIN
1,Johner,Brigitta,FDP,--
46,Joss,Rosmarie,SP,JA
49,Kaeser,Regula,Grüne,JA
32,Katumba,Andrew,SP,JA
77,Keller,Cornelia,BDP,--
124,Keller,Rolando,SVP,NEIN
128,Kläy,Dieter,FDP,NEIN
129,Kull-Benz,Katharina,FDP,NEIN
160,Kündig,Jörg,FDP,NEIN
101,Kutter,Philipp,CVP,JA
95,Kyburz,Heinz,EDU,NEIN
63,Lais,Ruedi,SP,JA
7,Lalli,Emy,SP,JA
139,Langhard,Walter,SVP,NEIN
174,Langhart,Konrad,SVP,NEIN
65,Läubli,Hans,Grüne,JA
80,Lenggenhager,Marcel,BDP,JA
69,Ljuboje,Patricia,Grüne,JA
57,Loss,Davide,SP,JA
137,Lucek,Christian,SVP,NEIN
26,Mäder,Jörg,GLP,NEIN
22,Margreiter,Ralf,Grüne,JA
27,Marthaler,Thomas,SP,JA
36,Marti,Res,Grüne,JA
17,Matter,Sylvie,SP,JA
170,Menzi,Ruedi,SVP,NEIN
153,Mettler,Christian,SVP,NEIN
29,Meyer,Mattea,SP,JA
168,Moor-Schwarz,Ursula,SVP,NEIN
31,Munz,Roland,SP,JA
24,Neukom,Martin,Grüne,JA
