platz,nachname,vorname,partei,stimme
030,Ackermann,Pia,SP,--
083,Ackermann,Ruth,CVP,--
042,Agosti Monn,Theres,SP,--
177,Albanese,Franco,SVP,--
052,Alder,Ronald,GLP,--
114,Amacker,Bruno,SVP,--
126,Amrein,Hans-Peter,SVP,--
163,Balmer,Bettina,FDP,--
140,Bamert,Ueli,SVP,--
171,Bär,Hansruedi,SVP,--
057,Bartal,Isabel,SP,--
017,Bärtschiger,Markus,SP,--
086,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,--
161,Berger,Antoine,FDP,--
130,Biber,Michael,FDP,--
020,Bischoff,Markus,AL,JA
022,Bloch,Beat,CSP,--
159,Boesch,Hans-Jakob,FDP,--
135,Bollinger,Erich,SVP,--
173,Bonato,Diego,SVP,--
111,Borer,Anita,SVP,--
131,Bourgeois,Marc,FDP,--
080,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,--
034,Brunner,Robert,Grüne,--
001,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,--
007,Bussmann,Barbara,SP,--
013,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,--
3a,Dalcher,Pierre,SVP,--
043,Daurù,Andreas,SP,--
029,Dünki,Michèle,SP,JA
095,Egli,Hans,EDU,--
180,Egli,Karin,SVP,--
071,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,--
101,Farner,Martin,FDP,--
118,Fehr Düsel,Nina,SVP,--
066,Fehr Thoma,Karin,Grüne,JA
062,Feldmann,Stefan,SP,--
149,Fischer,Benjamin,SVP,--
068,Forrer,Thomas,Grüne,JA
103,Franzen,Barbara,FDP,--
041,Frei,Daniel,SP,--
151,Frei,Ruth,SVP,--
160,Frey,Beatrix,FDP,--
143,Furrer,Astrid,FDP,--
112,Fürst,Reinhard,SVP,--
162,Galliker,Nadja,FDP,--
106,Gantner,Alex,FDP,--
070,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,--
014,Göldi,Hanspeter,SP,--
138,Grüter,Barbara,SVP,--
033,Gschwind,Benedikt,SP,--
024,Günthard Fitze,Barbara,EVP,--
088,Gut,Astrid,BDP,--
021,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,--
102,Habegger,Beat,FDP,--
096,Häni,Peter,EDU,--
144,Hänni,Cäcilia,FDP,--
054,Häuptli,Daniel,GLP,--
127,Hauser,Matthias,SVP,--
036,Häusler,Edith,Grüne,--
065,Heierli,Daniel,Grüne,--
072,Hodel,Daniel,GLP,--
015,Hoesch,Felix,SP,--
176,Hofer,Jacqueline,SVP,--
156,Hoffmann,Benedikt,SVP,--
129,Hofmann,Olivier,FDP,--
067,Homberger,Max Robert,Grüne,--
155,Huber,Beat,SVP,--
167,Hübscher,Martin,SVP,--
039,Hugentobler,Hanspeter,EVP,--
012,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,--
121,Isler,René,SVP,--
099,Jäger,Alexander,FDP,--
46,Joss,Rosmarie,SP,--
48,Kaeser,Regula,Grüne,JA
32,Katumba,Andrew,SP,--
81,Keller,Cornelia,BDP,--
123,Keller,Rolando,SVP,--
2,Kläy,Dieter,FDP,--
87,Koller,Ivo,BDP,--
97,Koller,Prisca,FDP,--
128,Kull,Katharina,FDP,--
142,Kündig,Jörg,FDP,--
91,Kutter,Philipp,CVP,--
63,Lais,Ruedi,SP,--
93,Lamprecht,Thomas,EDU,--
10,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,--
76,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,--
152,Liebi,Roger,SVP,--
27,Loss,Davide,SP,--
136,Lucek,Christian,SVP,--
75,Mäder,Jörg,GLP,--
26,Mani,Tobias,EVP,--
183,Marthaler,Thomas,SP,--
4,Marti,Sibylle,SP,--
184,Marty Fässler,Carmen,SP,--
94,Marty,Maria Rita,EDU,--
8,Matter,Sylvie,SP,--
59,Meier,Esther,SP,--
23,Meier,Walter,EVP,--
153,Mettler,Christian,SVP,--
122,Mischol,Tumasch,SVP,--
37,Monhart,Beat,EVP,--
168,Moor,Ursula,SVP,--
98,Müller,André,FDP,--
104,Müller,Christian,FDP,--
31,Munz,Roland,SP,--
35,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,--
51,Petri,Gabi,Grüne,--
64,Pfalzgraf,Hannah,SP,JA
179,Pfister,Ulrich,SVP,--
166,Pflugshaupt,Elisabeth,SVP,--
84,Pinto,Jean-Philippe,CVP,--
133,Preisig,Peter,SVP,--
157,Raths,Hans Heinrich,SVP,--
50,Rigoni,Silvia,Grüne,JA
82,Romer,Martin,BDP,--
61,Röösli,Brigitte,SP,--
116,Rueff,Sonja,FDP,--
19,Sahli,Manuel,AL,JA
040,Schaaf,Markus,EVP,--
055,Schaffner,Barbara,GLP,--
134,Scheck,Roland,SVP,--
085,Scherrer,Benno,GLP,--
053,Schlauri,Simon,GLP,--
120,Schmid,Claudio,SVP,--
078,Schmid,Lorenz,CVP,--
003,Schmid,Roman,SVP,--
110,Schmid,Stefan,SVP,--
145,Schucan,Christian,FDP,--
100,Schwab,Daniel,FDP,--
038,Sommer,Daniel,EVP,--
047,Späth,Markus,SP,--
049,Steiner,Kathy,Grüne,JA
028,Steiner,Rafael,SP,ENTHALTEN
172,Steinmann,Armin,SVP,--
011,Stofer,Judith Anna,AL,JA
058,Straub,Esther,SP,--
170,Sulser,Jürg,SVP,--
137,Suter,Marcel,SVP,--
090,Thomet,Corinne,CVP,--
016,Tognella,Birgit,SP,--
108,Trachsel,Jürg,SVP,--
009,Trost Vetter,Susanne,SP,--
125,Truninger,René,SVP,--
150,Uhlmann,Peter,SVP,--
158,Vogel,Thomas,FDP,--
107,Vollenweider,Peter,FDP,--
069,von Planta,Cyrill,GLP,--
092,Vontobel,Erich,EDU,--
175,Wäfler,Daniel,SVP,--
148,Waser,Urs,SVP,--
169,Weber-Gachnang,Theresia,SVP,--
117,Wettstein,Sabine,FDP,--
018,Wicki,Monika,SP,--
077,Widler,Josef,CVP,--
045,Widmer,Céline,SP,--
079,Wiederkehr,Josef,CVP,--
073,Wirth,Thomas,GLP,--
025,Wisskirchen,Mark,EVP,--
044,Würth,Eva-Maria,SP,--
141,Wyss,Orlando,SVP,--
060,Wyssen,Claudia,SP,--
174,Zahler,Erika,SVP,--
074,Zeugin,Michael,GLP,--
056,Ziegler,Christoph,GLP,--
132,Zuber,Martin,SVP,--
113,Züllig,Hansueli,SVP,--
