platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
82,Ackermann,Ruth,CVP,NEIN
42,Agosti Monn,Theres,SP,--
89,Albanese,Franco,CVP,--
114,Amacker,Bruno,SVP,--
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,JA
163,Balmer,Bettina,FDP,NEIN
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,JA
86,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,NEIN
129,Biber,Michael,FDP,NEIN
20,Bischoff,Markus,AL,NEIN
49,Bloch,Beat,CSP,NEIN
147,Boesch,Hans-Jakob,FDP,NEIN
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
130,Bourgeois,Marc,FDP,NEIN
80,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,NEIN
34,Brunner,Robert,Grüne,NEIN
58,Büchi,Renate,SP,JA
83,Bürgin,Yvonne,CVP,NEIN
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,NEIN
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,NEIN
3,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,NEIN
118,Fehr Düsel,Nina,SVP,JA
68,Fehr Thoma,Karin,Grüne,--
62,Feldmann,Stefan,SP,JA
149,Fischer,Benjamin,SVP,JA
39,Fischer,Gerhard,EVP,NEIN
103,Franzen,Barbara,FDP,NEIN
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,NEIN
142,Furrer,Astrid,FDP,NEIN
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,NEIN
106,Gantner,Alex,FDP,NEIN
70,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,NEIN
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,--
24,Gugger,Nik,EVP,NEIN
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,NEIN
93,Häni,Peter,EDU,NEIN
143,Hänni,Cäcilia,FDP,NEIN
96,Häring,Hans Peter,EDU,NEIN
53,Häuptli,Daniel,GLP,NEIN
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,NEIN
65,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,NEIN
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,JA
138,Hoffmann,Benedikt,SVP,JA
144,Hofmann,Olivier,FDP,NEIN
67,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
38,Hugentobler,Hanspeter,EVP,NEIN
87,Hunger,Stefan,BDP,JA
12,Huonker,Laura,AL,NEIN
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,JA
99,Jäger,Alexander,FDP,NEIN
46,Joss,Rosmarie,SP,JA
48,Kaeser,Regula,Grüne,NEIN
32,Katumba,Andrew,SP,--
81,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,NEIN
97,Koller,Prisca,FDP,NEIN
128,Kull,Katharina,FDP,NEIN
159,Kündig,Jörg,FDP,NEIN
91,Kutter,Philipp,CVP,NEIN
63,Lais,Ruedi,SP,JA
10,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,JA
76,Lenggenhager,Marcel,BDP,JA
119,Leuenberger,Susanne,SVP,JA
152,Liebi,Roger,SVP,ENTHALTEN
27,Loss,Davide,SP,--
136,Lucek,Christian,SVP,JA
75,Mäder,Jörg,GLP,NEIN
22,Margreiter,Ralf,Grüne,--
64,Marthaler,Thomas,SP,--
17,Marti,Sibylle,SP,JA
8,Matter,Sylvie,SP,--
61,Meier,Esther,SP,JA
23,Meier,Walter,EVP,NEIN
153,Mettler,Christian,SVP,JA
122,Mischol,Tumasch,SVP,JA
168,Moor,Ursula,SVP,JA
98,Müller,André,FDP,NEIN
104,Müller,Christian,FDP,NEIN
31,Munz,Roland,SP,JA
35,Neukom,Martin,Grüne,NEIN
