platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,NEIN
83,Ackermann,Ruth,CVP,NEIN
42,Agosti Monn,Theres,SP,NEIN
177,Albanese,Franco,SVP,JA
52,Alder,Ronald,GLP,NEIN
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
163,Balmer,Bettina,FDP,ENTHALTEN
140,Bamert,Ueli,SVP,JA
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,NEIN
17,Bärtschiger,Markus,SP,NEIN
86,Bellaiche,Judith,GLP,NEIN
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,ENTHALTEN
130,Biber,Michael,FDP,ENTHALTEN
20,Bischoff,Markus,AL,NEIN
22,Bloch,Beat,CSP,NEIN
159,Boesch,Hans-Jakob,FDP,ENTHALTEN
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,ENTHALTEN
111,Borer,Anita,SVP,JA
131,Bourgeois,Marc,FDP,ENTHALTEN
80,Brazerol,Rico,BDP,NEIN
146,Brunner,Hans-Peter,FDP,ENTHALTEN
34,Brunner,Robert,Grüne,NEIN
1,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,NEIN
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,ENTHALTEN
3a,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,NEIN
29,Dünki,Michèle,SP,NEIN
95,Egli,Hans,EDU,NEIN
180,Egli,Karin,SVP,NEIN
71,Erdin,Andreas,GLP,NEIN
181,Erni,Jonas,SP,NEIN
101,Farner,Martin,FDP,--
118,Fehr Düsel,Nina,SVP,JA
66,Fehr Thoma,Karin,Grüne,--
62,Feldmann,Stefan,SP,NEIN
149,Fischer,Benjamin,SVP,JA
68,Forrer,Thomas,Grüne,NEIN
103,Franzen,Barbara,FDP,ENTHALTEN
41,Frei,Daniel,SP,NEIN
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,ENTHALTEN
143,Furrer,Astrid,FDP,ENTHALTEN
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,ENTHALTEN
106,Gantner,Alex,FDP,ENTHALTEN
70,Gehrig,Sonja,GLP,NEIN
105,Geistlich,Andreas,FDP,ENTHALTEN
14,Göldi,Hanspeter,SP,NEIN
138,Grüter,Barbara,SVP,ENTHALTEN
33,Gschwind,Benedikt,SP,NEIN
24,Günthard Fitze,Barbara,EVP,NEIN
88,Gut,Astrid,BDP,NEIN
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,ENTHALTEN
96,Häni,Peter,EDU,NEIN
144,Hänni,Cäcilia,FDP,ENTHALTEN
54,Häuptli,Daniel,GLP,NEIN
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,NEIN
65,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,NEIN
15,Hoesch,Felix,SP,NEIN
176,Hofer,Jacqueline,SVP,NEIN
156,Hoffmann,Benedikt,SVP,--
129,Hofmann,Olivier,FDP,ENTHALTEN
67,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
39,Hugentobler,Hanspeter,EVP,NEIN
12,Huonker,Laura,AL,NEIN
124,Hurter,Christian,SVP,JA
133,Isler,René,SVP,JA
99,Jäger,Alexander,FDP,ENTHALTEN
46,Joss,Rosmarie,SP,NEIN
48,Kaeser,Regula,Grüne,NEIN
32,Katumba,Andrew,SP,NEIN
81,Keller,Cornelia,BDP,NEIN
123,Keller,Rolando,SVP,NEIN
2,Kläy,Dieter,FDP,ENTHALTEN
87,Koller,Ivo,BDP,NEIN
97,Koller,Prisca,FDP,ENTHALTEN
128,Kull,Katharina,FDP,ENTHALTEN
142,Kündig,Jörg,FDP,ENTHALTEN
91,Kutter,Philipp,CVP,NEIN
63,Lais,Ruedi,SP,NEIN
93,Lamprecht,Thomas,EDU,NEIN
10,Langenegger,Tobias,SP,NEIN
139,Langhard,Walter,SVP,JA
178,Langhart,Konrad,SVP,JA
76,Lenggenhager,Marcel,BDP,NEIN
119,Leuenberger,Susanne,SVP,--
152,Liebi,Roger,SVP,JA
27,Loss,Davide,SP,--
136,Lucek,Christian,SVP,JA
75,Mäder,Jörg,GLP,NEIN
26,Mani,Tobias,EVP,--
183,Marthaler,Thomas,SP,NEIN
4,Marti,Sibylle,SP,--
184,Marty Fässler,Carmen,SP,NEIN
94,Marty,Maria Rita,EDU,NEIN
8,Matter,Sylvie,SP,NEIN
59,Meier,Esther,SP,NEIN
23,Meier,Walter,EVP,NEIN
153,Mettler,Christian,SVP,JA
122,Mischol,Tumasch,SVP,JA
37,Monhart,Beat,EVP,NEIN
168,Moor,Ursula,SVP,JA
98,Müller,André,FDP,--
104,Müller,Christian,FDP,ENTHALTEN
31,Munz,Roland,SP,NEIN
35,Neukom,Martin,Grüne,NEIN
182,Peter,Jacqueline,SP,NEIN
51,Petri,Gabi,Grüne,NEIN
64,Pfalzgraf,Hannah,SP,NEIN
179,Pfister,Ulrich,SVP,ENTHALTEN
166,Pflugshaupt,Elisabeth,SVP,--
84,Pinto,Jean-Philippe,CVP,NEIN
121,Preisig,Peter,SVP,ENTHALTEN
157,Raths,Hans Heinrich,SVP,JA
50,Rigoni,Silvia,Grüne,NEIN
82,Romer,Martin,BDP,NEIN
61,Röösli,Brigitte,SP,NEIN
116,Rueff,Sonja,FDP,ENTHALTEN
19,Sahli,Manuel,AL,NEIN
40,Schaaf,Markus,EVP,NEIN
55,Schaffner,Barbara,GLP,NEIN
134,Scheck,Roland,SVP,JA
