platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
82,Ackermann,Ruth,CVP,JA
42,Agosti Monn,Theres,SP,JA
89,Albanese,Franco,CVP,--
114,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,NEIN
110,Arnold,Martin,SVP,NEIN
140,Bachmann,Ernst,SVP,NEIN
163,Balmer,Bettina,FDP,NEIN
171,Bär,Hansruedi,SVP,NEIN
57,Bartal,Isabel,SP,JA
86,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,NEIN
161,Berger,Antoine,FDP,NEIN
129,Biber,Michael,FDP,NEIN
20,Bischoff,Markus,AL,NEIN
49,Bloch,Beat,CSP,NEIN
147,Boesch,Hans-Jakob,FDP,NEIN
135,Bollinger,Erich,SVP,NEIN
173,Bonato,Diego,SVP,--
111,Borer,Anita,SVP,NEIN
130,Bourgeois,Marc,FDP,NEIN
80,Brazerol,Rico,BDP,NEIN
146,Brunner,Hans-Peter,FDP,NEIN
34,Brunner,Robert,Grüne,NEIN
58,Büchi,Renate,SP,JA
83,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,NEIN
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,NEIN
180,Dalcher,Pierre,SVP,NEIN
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,NEIN
3,Egli,Karin,SVP,NEIN
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,NEIN
118,Fehr Düsel,Nina,SVP,--
68,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,NEIN
149,Fischer,Benjamin,SVP,NEIN
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,NEIN
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,NEIN
160,Frey,Beatrix,FDP,--
142,Furrer,Astrid,FDP,NEIN
112,Fürst,Reinhard,SVP,NEIN
162,Galliker,Nadja,FDP,NEIN
106,Gantner,Alex,FDP,NEIN
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,NEIN
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,NEIN
102,Habegger,Beat,FDP,NEIN
93,Häni,Peter,EDU,NEIN
143,Hänni,Cäcilia,FDP,NEIN
96,Häring,Hans Peter,EDU,NEIN
53,Häuptli,Daniel,GLP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,NEIN
36,Häusler,Edith,Grüne,NEIN
65,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,JA
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,NEIN
138,Hoffmann,Benedikt,SVP,NEIN
144,Hofmann,Olivier,FDP,NEIN
67,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,NEIN
167,Hübscher,Martin,SVP,NEIN
38,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,NEIN
124,Hurter,Christian,SVP,NEIN
121,Isler,René,SVP,NEIN
099,Jäger,Alexander,FDP,NEIN
046,Joss,Rosmarie,SP,JA
048,Kaeser,Regula,Grüne,NEIN
032,Katumba,Andrew,SP,JA
081,Keller,Cornelia,BDP,NEIN
123,Keller,Rolando,SVP,NEIN
3a,Kläy,Dieter,FDP,NEIN
097,Koller,Prisca,FDP,NEIN
128,Kull,Katharina,FDP,NEIN
159,Kündig,Jörg,FDP,NEIN
091,Kutter,Philipp,CVP,JA
063,Lais,Ruedi,SP,JA
010,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,NEIN
178,Langhart,Konrad,SVP,NEIN
076,Lenggenhager,Marcel,BDP,NEIN
119,Leuenberger,Susanne,SVP,NEIN
152,Liebi,Roger,SVP,NEIN
027,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,NEIN
075,Mäder,Jörg,GLP,JA
022,Margreiter,Ralf,Grüne,NEIN
