platz,nachname,vorname,partei,stimme
030,Ackermann,Pia,SP,--
082,Ackermann,Ruth,CVP,--
042,Agosti Monn,Theres,SP,--
177,Albanese,Franco,SVP,--
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,--
140,Bachmann,Ernst,SVP,JA
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,JA
057,Bartal,Isabel,SP,--
017,Bärtschiger,Markus,SP,NEIN
086,Bellaiche,Judith,GLP,NEIN
165,Bender,André,SVP,--
161,Berger,Antoine,FDP,JA
130,Biber,Michael,FDP,JA
020,Bischoff,Markus,AL,NEIN
022,Bloch,Beat,CSP,NEIN
159,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
131,Bourgeois,Marc,FDP,JA
080,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,JA
034,Brunner,Robert,Grüne,NEIN
058,Büchi,Renate,SP,NEIN
002,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,JA
007,Bussmann,Barbara,SP,NEIN
013,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,NEIN
29,Dünki,Michèle,SP,NEIN
95,Egli,Hans,EDU,--
1,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,NEIN
181,Erni,Jonas,SP,NEIN
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,--
66,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,NEIN
87,Fenner,Bruno,BDP,JA
149,Fischer,Benjamin,SVP,JA
68,Forrer,Thomas,Grüne,NEIN
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,NEIN
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,--
70,Gehrig,Sonja,GLP,NEIN
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,NEIN
33,Gschwind,Benedikt,SP,NEIN
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,JA
144,Hänni,Cäcilia,FDP,--
53,Häuptli,Daniel,GLP,NEIN
74,Hauri,Andreas,GLP,NEIN
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,NEIN
65,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,NEIN
176,Hofer,Jacqueline,SVP,JA
138,Hoffmann,Benedikt,SVP,JA
129,Hofmann,Olivier,FDP,--
67,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
39,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,NEIN
124,Hurter,Christian,SVP,--
121,Isler,René,SVP,JA
099,Jäger,Alexander,FDP,JA
046,Joss,Rosmarie,SP,NEIN
048,Kaeser,Regula,Grüne,NEIN
032,Katumba,Andrew,SP,NEIN
081,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,JA
003,Kläy,Dieter,FDP,JA
