platz,nachname,vorname,partei,stimme
114,Amacker,Bruno,SVP,JA
82,Ackermann,Ruth,CVP,JA
30,Ackermann,Pia,SP,JA
89,Albanese,Franco,CVP,JA
42,Agosti Monn,Theres,SP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,JA
163,Balmer,Bettina,FDP,NEIN
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,JA
86,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,NEIN
130,Biber,Michael,FDP,NEIN
20,Bischoff,Markus,AL,JA
49,Bloch,Beat,CSP,NEIN
159,Boesch,Hans-Jakob,FDP,NEIN
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
131,Bourgeois,Marc,FDP,NEIN
80,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,NEIN
34,Brunner,Robert,Grüne,NEIN
58,Büchi,Renate,SP,JA
3,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,NEIN
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,JA
2,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,NEIN
118,Fehr Düsel,Nina,SVP,--
68,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,JA
149,Fischer,Benjamin,SVP,JA
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,NEIN
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,NEIN
143,Furrer,Astrid,FDP,NEIN
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,NEIN
106,Gantner,Alex,FDP,NEIN
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,NEIN
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,NEIN
93,Häni,Peter,EDU,JA
144,Hänni,Cäcilia,FDP,NEIN
96,Häring,Hans Peter,EDU,--
53,Häuptli,Daniel,GLP,JA
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,NEIN
65,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,JA
138,Hoffmann,Benedikt,SVP,JA
129,Hofmann,Olivier,FDP,NEIN
67,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
38,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,JA
99,Jäger,Alexander,FDP,NEIN
46,Joss,Rosmarie,SP,JA
48,Kaeser,Regula,Grüne,NEIN
32,Katumba,Andrew,SP,JA
81,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,NEIN
97,Koller,Prisca,FDP,NEIN
128,Kull,Katharina,FDP,NEIN
142,Kündig,Jörg,FDP,NEIN
91,Kutter,Philipp,CVP,JA
63,Lais,Ruedi,SP,JA
10,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,JA
178,Langhart,Konrad,SVP,JA
76,Lenggenhager,Marcel,BDP,JA
119,Leuenberger,Susanne,SVP,JA
152,Liebi,Roger,SVP,JA
66,Lischer,Maria,Grüne,NEIN
27,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,JA
75,Mäder,Jörg,GLP,JA
22,Margreiter,Ralf,Grüne,NEIN
64,Marthaler,Thomas,SP,JA
17,Marti,Sibylle,SP,JA
8,Matter,Sylvie,SP,JA
61,Meier,Esther,SP,JA
23,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,JA
122,Mischol,Tumasch,SVP,JA
168,Moor,Ursula,SVP,JA
98,Müller,André,FDP,NEIN
104,Müller,Christian,FDP,NEIN
31,Munz,Roland,SP,JA
35,Neukom,Martin,Grüne,NEIN
182,Peter,Jacqueline,SP,JA
51,Petri,Gabi,Grüne,NEIN
179,Pfister,Ulrich,SVP,JA
166,Pflugshaupt,Elisabeth,SVP,JA
84,Pinto,Jean-Philippe,CVP,JA
133,Preisig,Peter,SVP,JA
157,Raths,Hans Heinrich,SVP,JA
26,Reinhard,Peter,EVP,--
156,Rinderknecht,Margreth,SVP,JA
147,Romer,Martin,FDP,--
116,Rueff,Sonja,FDP,NEIN
19,Sahli,Manuel,AL,JA
44,Sarbach,Martin,SP,JA
40,Schaaf,Markus,EVP,JA
55,Schaffner,Barbara,GLP,JA
134,Scheck,Roland,SVP,JA
85,Scherrer Moser,Benno,GLP,JA
120,Schmid,Claudio,SVP,JA
78,Schmid,Lorenz,CVP,JA
4,Schmid,Roman,SVP,JA
137,Schmid,Stefan,SVP,JA
145,Schucan,Christian,FDP,NEIN
100,Schwab,Daniel,FDP,NEIN
59,Sieber Hirschi,Sabine,SP,JA
37,Sommer,Daniel,EVP,JA
47,Späth,Markus,SP,JA
183,Spillmann,Moritz,SP,JA
50,Steiner,Kathy,Grüne,NEIN
28,Steiner,Rafael,SP,JA
1,Steiner,Rolf,SP,--
172,Steinmann,Armin,SVP,JA
11,Stofer,Judith Anna,AL,JA
