platz,nachname,vorname,partei,stimme
184,Agosti Monn,Theres,SP,NEIN
103,Albanese,Franco,CVP,NEIN
050,Altwegg,Jürg,Grüne,NEIN
125,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,JA
171,Bär,Hansruedi,SVP,JA
010,Barrile,Angelo,SP,NEIN
044,Bartal,Isabel,SP,NEIN
075,Bellaiche,Judith,GLP,NEIN
163,Berger,Antoine,FDP,JA
013,Bischoff,Markus,AL,NEIN
020,Bloch,Beat,CSP,NEIN
123,Bollinger,Erich,SVP,JA
111,Borer,Anita,SVP,JA
079,Brazerol,Rico,BDP,NEIN
034,Brunner,Robert,Grüne,NEIN
058,Büchi-Wild,Renate,SP,NEIN
097,Bürgin,Yvonne,CVP,NEIN
154,Burtscher,Rochus,SVP,JA
005,Bussmann,Barbara,SP,NEIN
012,Bütikofer,Kaspar,AL,NEIN
116,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,JA
043,Daurù,Andreas,SP,NEIN
035,Dietschi,Urs,Grüne,NEIN
099,Egli,Hans,EDU,NEIN
004,Egli,Karin,SVP,JA
042,Egli,Ursina,SP,NEIN
71,Erdin,Andreas,GLP,NEIN
181,Erni,Jonas,SP,NEIN
130,Farner,Martin,FDP,JA
62,Feldmann,Stefan,SP,NEIN
81,Fenner,Bruno,BDP,NEIN
66,Ferro,Ornella,Grüne,NEIN
82,Fischer,Gerhard,EVP,NEIN
152,Frei-Baumann,Ruth,SVP,JA
16,Frei,Daniel,SP,NEIN
178,Frei,Hans,SVP,JA
161,Frey,Beatrix,FDP,ENTHALTEN
147,Furrer,Astrid,FDP,ENTHALTEN
138,Fürst,Reinhard,SVP,JA
106,Gantner,Alex,FDP,--
144,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,NEIN
33,Gschwind,Benedikt,SP,NEIN
88,Gugger,Nik,EVP,NEIN
78,Gut,Astrid,BDP,NEIN
54,Gutknecht,René,GLP,NEIN
86,Gutmann,Eva,GLP,JA
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
134,Habicher,Lorenz,SVP,JA
169,Haderer,Willy,SVP,JA
149,Haller,Margrit,SVP,JA
146,Hänni,Cäcilia,FDP,ENTHALTEN
48,Hans,Urs,Grüne,NEIN
100,Häring,Hans Peter,EDU,NEIN
25,Hasler,Andreas,GLP,NEIN
176,Haug,Hanspeter,SVP,JA
74,Hauri,Andreas,GLP,NEIN
127,Hauser,Matthias,SVP,JA
23,Häusler,Edith,Grüne,NEIN
51,Heierli,Daniel,Grüne,NEIN
151,Heusser,Hans-Heinrich,SVP,JA
72,Hodel,Daniel,GLP,NEIN
15,Hoesch,Felix,SP,NEIN
175,Hofer,Jacqueline,SVP,JA
131,Hofmann,Olivier,FDP,NEIN
67,Homberger,Max,Grüne,NEIN
155,Huber,Beat,SVP,JA
87,Huber,Stefanie,GLP,NEIN
76,Hunger,Stefan,BDP,NEIN
121,Isler,René,SVP,JA
167,Isliker,Walter,SVP,JA
1,Johner,Brigitta,FDP,--
46,Joss,Rosmarie,SP,NEIN
49,Kaeser,Regula,Grüne,NEIN
32,Katumba,Andrew,SP,NEIN
77,Keller,Cornelia,BDP,NEIN
124,Keller,Rolando,SVP,JA
128,Kläy,Dieter,FDP,JA
129,Kull-Benz,Katharina,FDP,JA
160,Kündig,Jörg,FDP,JA
101,Kutter,Philipp,CVP,NEIN
095,Kyburz,Heinz,EDU,NEIN
063,Lais,Ruedi,SP,NEIN
007,Lalli,Emy,SP,NEIN
139,Langhard,Walter,SVP,JA
174,Langhart,Konrad,SVP,JA
065,Läubli,Hans,Grüne,NEIN
080,Lenggenhager,Marcel,BDP,NEIN
069,Ljuboje,Patricia,Grüne,NEIN
057,Loss,Davide,SP,NEIN
137,Lucek,Christian,SVP,JA
026,Mäder,Jörg,GLP,JA
022,Margreiter,Ralf,Grüne,NEIN
027,Marthaler,Thomas,SP,NEIN
036,Marti,Res,Grüne,NEIN
017,Matter,Sylvie,SP,NEIN
170,Menzi,Ruedi,SVP,JA
153,Mettler,Christian,SVP,JA
029,Meyer,Mattea,SP,NEIN
168,Moor-Schwarz,Ursula,SVP,JA
